fecha;stock_k;fbc;cp;pib_real;rec_total;pib_nom;nf;;;;;
2000;274185.18 ;27487.4;75458.7;106654.2;14,620.30;106654.2;;;;;;
2001;287136.0;26660.1;78884.8;109558.6;16,083.2;118415.7;628;;;;;
2002;297497.5;24718.3;82184.8;113671.8;17,228.9;129166.6;644;;;;;
2003;308870.4;26247.8;85803;118840.5;19,632.4;142817.8;606;;;;;
2004;325809.5;32382.6;90075.1;126247;23,411.6;161507.5;656;;;;;
2005;341437.3;31918.3;95605;133885.7;26,707.6;183747.4;706;;;;;
2006;360546.3;36180.8;103913.1;142678.3;31,434.9;206288;725;;;;;
2007;387516.9;44997.9;110222;151507.7;38,270.0;233567.2;745;;;;;
2008;415955.0;47814;113520.1;157918.9;42,328.9;262416.9;780;;;;;
2009;426051.7;30894.4;113600.1;154078.9;39,035.0;275632.2;843;;;;;
2010;436075.0;31325.9;117744.9;159827.8;43,172.5;299286;875;;;;;
2011;450885.5;36614.3;121984.2;165958.3;49,543.9;335027.8;867;;;;;
2012;466319.7;37978.4;127198.8;172810.2;53,299.2;361348.5;872;;;;;
2013;480255.1;37251.4;131991.3;177634.3;56,726.7;376539.4;937;;;;;
2014;493731.9;37489.6;135364.2;183066.5;68,598.4;414633.5;930;;;;;
2015;511143.2;42097.9;140645.6;190096.4;79,863.1;460405.2;981;;;;;
2016;524584.4;38998.3;146270.7;197496.8;90,965.6;495921.9;982;;;;;
2017;541710.0;43354.9;153879.9;207061.4;99,226.4;543403;1027;;;;;
2018;561135.1;46510.6;162395.8;215022.9;105,995.8;575284.9;1100;;;;;
2019;577160.0;44081.6;169990.2;220727.6;107,445.7;614917.7;1070;;;;;
2020;581896.8;33594.8;159375.7;200939.9;86485.86888;585733.6;;;;;;
2021;597583.5;44781.6;183450.2;226125.9;118358.69;684203.8;;;;;;
;;;;;;;;;;;;
